center_x_m,center_y_m,inner_x_m,inner_y_m,outer_x_m,outer_y_m
8.363516,4.060148,8.824927,3.911181,7.877089,4.217191
8.366948,4.010667,8.83133,3.814884,7.877089,4.217191
8.370646,3.95735,8.824389,3.718469,7.877089,4.217191
8.374853,3.896706,8.798584,3.623886,7.877089,4.217191
8.379702,3.826789,8.752739,3.537035,7.877089,4.217191
8.338301,3.786437,8.687304,3.46048,7.877089,4.217191
8.264096,3.783275,8.605893,3.400048,7.877089,4.217191
8.200106,3.780549,8.511974,3.358976,7.877089,4.217191
8.143695,3.778145,8.409782,3.339952,7.877089,4.217191
8.093447,3.776004,8.309806,3.334813,7.877089,4.217191
8.043418,3.773872,8.209747,3.330551,7.877089,4.217191
7.993388,3.77174,8.109687,3.326289,7.877089,4.217191
7.943359,3.769609,8.009628,3.322027,7.877089,4.217191
7.893329,3.767477,7.909568,3.317765,7.877089,4.217191
7.793367,3.763218,7.809509,3.313503,7.777225,4.212937
7.693405,3.758958,7.709449,3.309241,7.677361,4.208683
7.593443,3.754699,7.60939,3.304979,7.577496,4.204429
7.543512,3.752571,7.60939,3.304979,7.477632,4.200174
7.494385,3.750478,7.585594,3.303965,7.403318,4.196298
7.444833,3.748367,7.561799,3.302952,7.33052,4.183677
7.396953,3.730268,7.537627,3.293176,7.258086,4.161746
7.352462,3.705285,7.515077,3.280513,7.189843,4.130066
7.308885,3.680815,7.515077,3.280513,7.102689,4.081125
7.221646,3.631827,7.427752,3.231477,7.015535,4.032185
7.134407,3.582839,7.340428,3.182441,6.928381,3.983245
7.047168,3.53385,7.253104,3.133405,6.841227,3.934304
6.959928,3.484862,7.16578,3.084369,6.754073,3.885364
6.872689,3.435874,7.078455,3.035333,6.666919,3.836424
6.78545,3.386886,6.991131,2.986297,6.579765,3.787483
6.698211,3.337898,6.903807,2.937261,6.49261,3.738543
6.610971,3.28891,6.816482,2.888225,6.405456,3.689603
6.523732,3.239922,6.729158,2.839189,6.318302,3.640662
6.436493,3.190934,6.641834,2.790153,6.231148,3.591722
6.349253,3.141946,6.55451,2.741117,6.143994,3.542782
6.262014,3.092958,6.467185,2.69208,6.05684,3.493841
6.174775,3.04397,6.379861,2.643044,5.969686,3.444901
6.087536,2.994981,6.292537,2.594008,5.882532,3.395961
6.043873,2.970463,6.205212,2.544972,5.882532,3.395961
6.000211,2.945945,6.117888,2.495936,5.882532,3.395961
5.956548,2.921427,6.030564,2.4469,5.882532,3.395961
5.912886,2.896909,5.943239,2.397864,5.882532,3.395961
5.869223,2.872391,5.855915,2.348828,5.882532,3.395961
5.825561,2.847873,5.768591,2.299792,5.882532,3.395961
5.781899,2.823355,5.681267,2.250756,5.882532,3.395961
5.752712,2.806966,5.623465,2.220569,5.882532,3.395961
5.72093,2.789119,5.563022,2.196146,5.882532,3.395961
5.68577,2.769375,5.500944,2.180797,5.882532,3.395961
5.645069,2.74652,5.43634,2.175663,5.882532,3.395961
5.599107,2.720711,5.371311,2.177995,5.882532,3.395961
5.547009,2.691456,5.307944,2.189484,5.882532,3.395961
5.484527,2.65637,5.245875,2.212894,5.882532,3.395961
5.424844,2.637914,5.18689,2.243801,5.882532,3.395961
5.423469,2.705123,5.138826,2.276767,5.882532,3.395961
5.422248,2.76481,5.096962,2.318771,5.882532,3.395961
5.421161,2.817932,5.058918,2.364094,5.882532,3.395961
5.42021,2.864438,5.028449,2.414038,5.882532,3.395961
5.419322,2.907827,5.004393,2.470571,5.882532,3.395961
5.418515,2.947303,4.985971,2.529076,5.882532,3.395961
5.417829,2.980828,4.978468,2.588333,5.882532,3.395961
5.417178,3.012647,4.97454,2.648044,5.882532,3.395961
5.416128,3.063964,4.972492,2.748173,5.882532,3.395961
5.415078,3.115281,4.970444,2.848302,5.882532,3.395961
5.414028,3.166598,4.968395,2.948432,5.882532,3.395961
5.412978,3.217915,4.966347,3.048561,5.882532,3.395961
5.411928,3.269232,4.964299,3.14869,5.882532,3.395961
5.410218,3.352856,4.962251,3.24882,5.858191,3.456895
5.409193,3.402921,4.960203,3.348949,5.858191,3.456895
5.408169,3.452986,4.958154,3.449078,5.858191,3.456895
5.406123,3.553018,4.956106,3.549207,5.856147,3.556829
5.404076,3.65305,4.954058,3.649337,5.854102,3.656763
5.40203,3.753081,4.95201,3.749466,5.852058,3.756697
5.399983,3.853113,4.949962,3.849595,5.850013,3.856631
5.402788,3.953083,4.953088,3.949668,5.853354,3.956505
