center_x_m,center_y_m,inner_x_m,inner_y_m,outer_x_m,outer_y_m
2.924350,4.938198,2.893076,4.740342,2.917755,5.275469
2.850452,4.927541,2.820902,4.745452,2.894990,5.278427
2.784809,4.969947,2.753121,4.766012,2.873350,5.284052
2.722722,5.018072,2.691533,4.800925,2.852725,5.291855
2.682762,5.057440,2.638595,4.844721,2.834202,5.302492
2.657997,5.086700,2.589421,4.891912,2.818507,5.318644
2.603608,5.158909,2.515656,4.955816,2.752289,5.367440
2.576007,5.202435,2.445279,5.018303,2.743606,5.402540
2.550089,5.247706,2.372807,5.080298,2.745394,5.440098
2.502030,5.342136,2.290725,5.140180,2.723147,5.557702
2.458259,5.441013,2.206866,5.198348,2.709794,5.683874
2.414214,5.539608,2.191913,5.323032,2.627088,5.743089
2.366031,5.633908,2.169389,5.440389,2.545089,5.802992
2.339843,5.678866,2.171061,5.476959,2.472678,5.865149
2.285609,5.758265,2.113618,5.551193,2.396382,5.928011
2.265100,5.783670,2.102968,5.568347,2.353412,5.968051
2.237232,5.814362,2.089940,5.582905,2.310174,6.007839
2.193627,5.854007,2.074771,5.595915,2.260744,6.041314
2.147625,5.889666,2.057836,5.606402,2.207270,6.067533
2.093627,5.899317,2.040138,5.613470,2.152301,6.082705
2.033405,5.888092,2.021190,5.617697,2.094096,6.086144
1.981172,5.872644,2.001738,5.617720,2.036156,6.080613
1.944147,5.859400,1.982528,5.616213,1.979843,6.067222
1.897693,5.840479,1.951653,5.607430,1.891047,6.037321
1.851780,5.819928,1.922543,5.591055,1.801898,6.008939
1.761243,5.774890,1.835358,5.532299,1.705358,5.982701
1.663382,5.751820,1.735328,5.518043,1.611390,5.947562
1.613684,5.742635,1.701308,5.520423,1.523223,5.915431
1.564472,5.731988,1.667996,5.514898,1.434915,5.884879
1.474306,5.707762,1.593336,5.468659,1.341892,5.851846
1.441205,5.697680,1.576142,5.458601,1.285758,5.832226
1.390463,5.679454,1.560544,5.446653,1.232916,5.805940
1.327329,5.648289,1.546117,5.432384,1.182533,5.771278
1.273077,5.612608,1.532946,5.417056,1.140164,5.727867
1.260874,5.548497,1.521904,5.401974,1.109240,5.681039
1.253359,5.483337,1.511874,5.385856,1.088601,5.627453
1.252536,5.427420,1.503914,5.368676,1.076481,5.571395
1.254093,5.395755,1.498729,5.350496,1.071947,5.514652
1.257131,5.345731,1.494047,5.318938,1.074014,5.420863
1.261617,5.295725,1.496234,5.285254,1.074707,5.327498
1.275468,5.195740,1.522683,5.182579,1.070772,5.227900
1.294467,5.095815,1.559372,5.078872,1.064794,5.128508
1.316447,4.995923,1.602003,4.974564,1.057623,5.029236
1.338896,4.896036,1.645554,4.870157,1.050269,4.929987
1.358122,4.796114,1.682700,4.766390,1.044197,4.830607
1.373193,4.696144,1.711572,4.663449,1.039780,4.731062
1.382362,4.596107,1.728700,4.561687,1.037710,4.631283
1.387163,4.496022,1.737132,4.460800,1.037381,4.531328
1.388751,4.395900,1.739175,4.360555,1.038329,4.431244
1.389882,4.295773,1.740306,4.260403,1.039459,4.331142
1.391013,4.195645,1.741438,4.160251,1.040590,4.231040
1.392144,4.095518,1.742569,4.060098,1.041720,4.130938
1.393275,3.995391,1.743700,3.959946,1.042851,4.030836
1.394406,3.895264,1.744831,3.859794,1.043981,3.930733
1.395537,3.795136,1.745962,3.759641,1.045112,3.830631
1.396668,3.695009,1.747094,3.659489,1.046242,3.730529
1.397799,3.594882,1.748225,3.559337,1.047373,3.630427
1.398930,3.494755,1.749356,3.459184,1.048503,3.530325
1.400001,3.394607,1.749986,3.359029,1.049634,3.430223
